消火栓名,消火栓名(英語),消火栓分類,消防団,管理番号,都道府県名,市区町村名,行政区名,住所,対象範囲の直径(m),配水管口径(mm),貯水量(t),緯度,経度,分離器（有、無）,標準地域コード
消火栓,,消火栓,鯖江第1分団,136,福井県,鯖江市,,旭町1丁目1-1,100,100,,35.9440183722,136.1884743889,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,137,福井県,鯖江市,,柳町3丁目3-12,100,100,,35.946452775,136.1928558611,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,138,福井県,鯖江市,,柳町3丁目4-7,120,100,,35.946467575,136.1941336833,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,139,福井県,鯖江市,,柳町3丁目4,120,75,,35.9458883639,136.1933153694,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,140,福井県,鯖江市,,柳町3丁目2-19,120,75,,35.9457557139,136.1920073472,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,141,福井県,鯖江市,,柳町3丁目1-2,120,200,,35.9453889389,136.1908983889,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,142,福井県,鯖江市,,柳町1丁目5-6,120,100,,35.9452798222,136.1896263472,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,143,福井県,鯖江市,,柳町1丁目5-16,120,75,,35.9444607444,136.1901828028,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,144,福井県,鯖江市,,柳町1丁目1-17,100,75,,35.9433107944,136.1892576611,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,145,福井県,鯖江市,,柳町3丁目3-14,120,200,,35.9440576194,136.1909059444,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,146,福井県,鯖江市,,柳町3丁目8,120,100,,35.9448138139,136.1920341139,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,147,福井県,鯖江市,,柳町3丁目5-15,120,75,,35.9447813944,136.1931439806,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,148,福井県,鯖江市,,柳町3丁目5-17,120,100,,35.944245275,136.1940003472,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,149,福井県,鯖江市,,柳町3丁目9-15,120,100,,35.9435175472,136.1920461639,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,150,福井県,鯖江市,,柳町3丁目6-15,120,75,,35.9434370583,136.1927249611,無,http://statdb.nstac.go.jp/lod/sac/C18207
